trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
49,0,49,0,58.97030120002455,,58.95799399999669,58.97030120002455,59.97029930001008,59.97029930001008,59.97029930001008,60.02211119999993,up,1,0.0369868999987375,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
50,0,50,0,60.03708460001508,,60.024879400007194,60.03708460001508,61.0372002000222,61.0372002000222,61.0372002000222,61.20505570000387,up,1,0.1641276000009384,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
51,0,51,0,61.220020100008696,,61.20801719999872,61.220020100008696,62.21989249999751,62.21989249999751,62.21989249999751,62.67189170001075,up,0,0.4483122999954503,None,-5,62.52000869999756,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
52,0,52,0,62.68654080000124,,62.67464940002537,62.68654080000124,63.686705700005405,63.686705700005405,63.686705700005405,63.77122470000177,down,1,0.07706160002271645,None,4,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
53,0,53,0,63.7865024000057,,63.773967700020876,63.7865024000057,64.78648940002313,64.78648940002313,64.78648940002313,64.80519420001656,up,0,0.01590339999529533,None,-5,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
54,0,54,0,64.81967960001202,,64.80784930000664,64.81967960001202,65.81956200001878,65.81956200001878,65.81956200001878,65.90455770000699,down,1,None,None,3,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
55,0,55,0,65.91935280000325,,65.90732980001485,65.91935280000325,66.91940460001933,66.91940460001933,66.91940460001933,67.10424190000049,up,0,0.17833630001405254,None,1,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
56,0,56,0,67.11928210000042,,67.10706650000066,67.11928210000042,68.11921600002097,68.11921600002097,68.11921600002097,68.18835989999934,up,0,0.06653989999904297,None,-2,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
57,0,57,0,68.20252800002345,,68.19081780000124,68.20252800002345,69.20259680002346,69.20259680002346,69.20259680002346,69.48792120002327,down,0,0.27241419997881167,None,0,69.50264640001114,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
58,0,58,0,69.50264640001114,,69.49093690002337,69.50264640001114,70.50249660000554,70.50249660000554,70.50249660000554,70.55486870001187,down,0,0.04941169999074191,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
59,0,59,0,70.56878600001801,,70.55799620001926,70.56878600001801,71.5688018000219,71.5688018000219,71.5688018000219,71.604278600018,down,1,0.022962300019571558,None,4,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
60,0,60,0,71.6186968999973,,71.60732370000915,71.6186968999973,72.61866670000018,72.61866670000018,72.61866670000018,72.63734700001078,down,0,0.007345899997744709,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
61,0,61,0,72.65207100001862,,72.64020960000926,72.65207100001862,73.65207240000018,73.65207240000018,73.65207240000018,73.78682740000659,up,0,0.11798629999975674,None,1,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
62,0,62,0,73.80191920002108,,73.78977780000423,73.80191920002108,74.801881100022,74.801881100022,74.801881100022,75.0697058000078,down,0,0.26416070002596825,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
63,0,63,0,75.0851823000121,,75.07209470000817,75.0851823000121,76.08508690001327,76.08508690001327,76.08508690001327,76.27103370000259,down,0,0.18314800001098774,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
64,0,64,0,76.28478390001692,,76.27361390000442,76.28478390001692,77.28501890000189,77.28501890000189,77.28501890000189,77.40333850000752,down,0,0.10309190000407398,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
65,0,65,0,77.41789480001898,,77.406229300017,77.41789480001898,78.41788069999893,78.41788069999893,78.41788069999893,78.65291870001238,up,0,0.2311727000051178,None,-5,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
66,0,66,0,78.66783750001923,,78.65538440001546,78.66783750001923,79.66787110001314,79.66787110001314,79.66787110001314,79.77102300000843,down,1,0.10058379999827594,None,2,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
67,0,67,0,79.78445760000614,,79.77353020000737,79.78445760000614,80.78443100000732,80.78443100000732,80.78443100000732,80.83638540000538,down,1,0.03732639999361709,None,4,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
68,0,68,0,80.85101880002185,,80.83907880002516,80.85101880002185,81.8511276000063,81.8511276000063,81.8511276000063,81.96955220002565,down,1,0.11545260000275448,None,-4,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
69,0,69,0,81.98422510002274,,81.9719476000173,81.98422510002274,82.98406590000377,82.98406590000377,82.98406590000377,83.18611290000263,down,0,0.1945599999744445,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
70,0,70,0,83.20072500000242,,83.18877540001995,83.20072500000242,84.2004715000221,84.2004715000221,84.2004715000221,84.80238750000717,down,0,0.5852194999752101,None,0,84.50069490002352,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
71,0,71,0,84.81706370000029,,84.80579840001883,84.81706370000029,85.81711290002568,85.81711290002568,85.81711290002568,85.90185029999702,down,0,0.08045720000518486,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
72,0,72,0,85.91699470000458,,85.90400800001225,85.91699470000458,86.91691170001286,86.91691170001286,86.91691170001286,87.10198330000276,down,0,0.17870570000377484,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
73,0,73,0,87.11677910000435,,87.1042773000081,87.11677910000435,88.11676980002085,88.11676980002085,88.11676980002085,88.35195690000546,down,0,0.2217887000006158,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
74,0,74,0,88.36667980000493,,88.35466630000155,88.36667980000493,89.36656200001016,89.36656200001016,89.36656200001016,89.4516455999983,up,1,0.0679426999995485,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
75,0,75,0,89.46635510001215,,89.45468250001431,89.46635510001215,90.46645190002164,90.46645190002164,90.46645190002164,90.65133010002319,down,1,0.17901970000821166,None,-5,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
76,0,76,0,90.66628460001084,,90.65363400001661,90.66628460001084,91.6662159000116,91.6662159000116,91.6662159000116,91.68655530002434,down,1,0.003025699988938868,None,1,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
77,0,77,0,91.69956269999966,,91.68918110002414,91.69956269999966,92.69970399999875,92.69970399999875,92.69970399999875,92.76855730000534,down,1,0.06636739999521524,None,-4,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
78,0,78,0,92.78294100001222,,92.77097230000072,92.78294100001222,93.7829558000085,93.7829558000085,93.7829558000085,93.88423740002327,down,0,0.0897629999963101,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
79,0,79,0,93.89930030002142,,93.886711500003,93.89930030002142,94.89940829999978,94.89940829999978,94.89940829999978,94.98372360001667,down,1,0.07304099999601021,None,-4,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
80,0,80,0,94.99918800001615,,94.98605520001729,94.99918800001615,95.9991884000192,95.9991884000192,95.9991884000192,96.7673797000025,up,0,0.7575453000026755,None,-2,96.2988544999971,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
81,0,81,0,96.78232510000817,,96.7700393999985,96.78232510000817,97.78238200000487,97.78238200000487,97.78238200000487,98.01698880002368,down,1,0.22927780001191422,None,-2,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
82,0,82,0,98.03217120000045,,98.0193905000051,98.03217120000045,99.03212730001542,99.03212730001542,99.03212730001542,99.43535590000101,down,0,0.40070830000331625,None,0,99.33202110001002,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
83,0,83,0,99.44855890001054,,99.43814340000972,99.44855890001054,100.44866439999896,100.44866439999896,100.44866439999896,100.51779949999764,up,0,0.06676339998375624,None,2,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
84,0,84,0,100.53183190000709,,100.52002910000738,100.53183190000709,101.53181830001995,101.53181830001995,101.53181830001995,101.76688070001546,up,1,0.23180899998988025,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
85,0,85,0,101.78171710000606,,101.76951740001095,101.78171710000606,102.78186220000498,102.78186220000498,102.78186220000498,102.86644250000245,up,0,0.08037830001558177,None,-2,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
86,0,86,0,102.88157779999892,,102.86882740000146,102.88157779999892,103.88155340001686,103.88155340001686,103.88155340001686,103.94983540000976,up,0,0.0517528000054881,None,-4,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
87,0,87,0,103.96452470001532,,103.95217360000242,103.96452470001532,104.96451830002479,104.96451830002479,104.96451830002479,105.10139370002435,down,0,0.1342278000083752,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
88,0,88,0,105.11399209999945,,105.10380090001854,105.11399209999945,106.11461930000223,106.11461930000223,106.11461930000223,106.13285690001794,up,1,0.002071700000669807,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
89,0,89,0,106.14774500002386,,106.13549580000108,106.14774500002386,107.1478515000199,107.1478515000199,107.1478515000199,107.18304380000336,down,1,0.022309599997242913,None,-4,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
90,0,90,0,107.1976180000056,,107.18574410001747,107.1976180000056,108.19777120000799,108.19777120000799,108.19777120000799,108.23309960000915,down,1,0.03241200000047684,None,-5,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
91,0,91,0,108.24751860002289,,108.2361879000091,108.24751860002289,109.24732760002371,109.24732760002371,109.24732760002371,109.2818818000087,down,1,0.02930750002269633,None,1,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
92,0,92,0,109.29802830002154,,109.28394380002283,109.29802830002154,110.29744570000912,110.29744570000912,110.29744570000912,110.3156518000178,down,0,0.010452899994561449,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
93,0,93,0,110.33060480002314,,110.31828550001956,110.33060480002314,111.33058210002491,111.33058210002491,111.33058210002491,111.56516310002189,up,0,0.22786089999135584,None,1,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
94,0,94,0,111.58033080000314,,111.56779030000325,111.58033080000314,112.58049120000214,112.58049120000214,112.58049120000214,112.61726570001338,up,0,0.030425499979173765,None,-3,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
95,0,95,0,112.63018160001957,,112.62126040001749,112.63018160001957,113.63001170000643,113.63001170000643,113.63001170000643,113.66740610002307,up,0,0.034416899987263605,None,2,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
96,0,96,0,113.68002500000875,,113.67039390001446,113.68002500000875,114.68025750000379,114.68025750000379,114.68025750000379,114.74914230001741,up,0,0.06623090000357479,None,-5,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
97,0,97,0,114.76354740001261,,114.75168159999885,114.76354740001261,115.76324220001698,115.76324220001698,115.76324220001698,115.84814919999917,up,1,0.0799408000020776,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
98,0,98,0,115.86304310002015,,115.85060890001478,115.86304310002015,116.86310470002354,116.86310470002354,116.86310470002354,116.9977090000175,up,0,0.13253459997940809,None,-5,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
99,0,99,0,117.01292720000492,,116.99991949999821,117.01292720000492,118.01293019999866,118.01293019999866,118.01293019999866,118.08324860001449,up,1,0.06742489998578094,None,0,,914838,001,2024-09-13_20h34.11.041,Signal detection experiment,2024.1.5,None,2024-09-13 20h34.15.015865 +0530,
